autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,duracion,duracion_segundos,latent_x,latent_y,latent_z
REAPER Mania,Create a Drum Part Quickly in REAPER,https://www.youtube.com/watch?v=cZ4BHHpi8rY,Beginner Guides (Beginner Guides),140720,2022-08-10,14:53,893,37.13,34.52,61.37
Adam Steel,Reaper 101 (2025) Part 1:- The Basics,https://www.youtube.com/watch?v=NLVMcmvORoA,Beginner Guides (Beginner Guides),140588,2024-08-09,01:01:29,3689,41.31,-66.06,19.49
Reapertips | Alejandro,Instantly convert AUDIO to MIDI in REAPER,https://www.youtube.com/watch?v=MbiQzNPIWWg,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),140121,2024-08-09,12:44,764,48.79,-106.24,0.96
Kley De Jong,Reaper Tutorial - How To Make Drum Beats Using Samples,https://www.youtube.com/watch?v=z4MSd7cYb2o,JSFX & Plugin DSP (JSFX & Plugin DSP),138415,2017-08-11,07:43,463,50.12,-70.97,-77.03
REAPER Mania,The Chord Gun (MIDI) in REAPER,https://www.youtube.com/watch?v=-v5oE79NJMg,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),137237,2021-08-10,14:57,897,50.11,-120.0,2.66
Adam Steel,"Reaper DAW 101 Part 3:- Routing - Busses, Sidechain and more",https://www.youtube.com/watch?v=yNemQmAmzq4,Audio Mixing & Routing (Audio Mixing & Routing),134233,2019-08-11,41:04,2464,90.57,-28.03,-32.14
REAPER Mania,Setting the LUFS Level in REAPER,https://www.youtube.com/watch?v=0wPnlND92QU,Mastering & Loudness (Mastering & Loudness),131488,2018-08-11,09:23,563,64.02,-11.95,43.03
REAPER Mania,Musical Instrument - Multi Sampling in REAPER (ReaSamplOmatic5000),https://www.youtube.com/watch?v=VxEGphq0Gck,Beginner Guides (Beginner Guides),129923,2018-08-11,13:29,809,2.69,-35.01,-12.63
REAPER Mania,Folders vs  Busses vs  Groups vs  VCAs in REAPER,https://www.youtube.com/watch?v=P62cSnHY7IA,Beginner Guides (Beginner Guides),129512,2017-08-11,25:35,1535,45.64,34.07,-16.55
Narativ,How to Record Audio in Reaper? Quick Tutorial,https://www.youtube.com/watch?v=I2Up0b9wufU,Beginner Guides (Beginner Guides),127275,2021-08-10,00:48,48,25.66,30.73,-39.93
The Ultimate Mixdown,REAPER Basics - The Complete Beginner Tutorial in under 15 MINUTES,https://www.youtube.com/watch?v=f6pUEjbCe5A,Beginner Guides (Beginner Guides),125276,2023-08-10,14:48,888,23.05,12.51,-100.22
Marcelo Fernández,What volume should you export? And what are LUFS?,https://www.youtube.com/watch?v=FxHXqeV9r-M,Mastering & Loudness (Mastering & Loudness),120154,2020-08-10,10:42,642,71.55,-2.1,51.97
Mati Veloso - Producer,▶️ Curso Básico de Reaper - Desde cero,https://www.youtube.com/watch?v=OB0C65jnhc0,Beginner Guides (Beginner Guides),119428,2024-08-09,31:41,1901,13.8,16.21,-7.24
Alan Hamilton Audio,Connecting The Behringer XR18 To Reaper - Settings for X-Air and Reaper w Virtual Soundcheck Option.,https://www.youtube.com/watch?v=xYmJGyroVe0,Beginner Guides (Beginner Guides),116884,2021-08-10,16:26,986,4.05,-66.96,-40.37
REAPER Mania,This is REAPER 7 - Intro,https://www.youtube.com/watch?v=0kEm36n8TKQ,Beginner Guides (Beginner Guides),116463,2024-08-09,14:58,898,34.07,-2.16,16.78
REAPER Mania,Multi Channel Routing and Midi Tracks in REAPER,https://www.youtube.com/watch?v=8CzL_7NPysk,"Audio Mixing & Routing (Audio Mixing & Routing, MIDI Editing & Virtual Instruments)",116217,2016-08-11,12:07,727,100.6,-62.32,-30.82
The REAPER Blog,Fresh Start: REAPER 6 Settings - Part 1,https://www.youtube.com/watch?v=u5GU3mwJf2E,Beginner Guides (Beginner Guides),115139,2021-08-10,34:52,2092,6.56,-69.0,-17.31
Ellenbecker Audio Tutorials,How to Assign Interface Inputs to Tracks on Reaper,https://www.youtube.com/watch?v=kffWZ-WeTsY,Beginner Guides (Beginner Guides),114429,2018-08-11,04:20,260,15.17,-18.26,-5.79
Shaped by Rain Studios,FMOD Studio Tutorial | How to Create Adaptive Audio for Video Games,https://www.youtube.com/watch?v=7A1HMOsD2eU,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",110055,2023-08-10,24:12,1452,49.92,50.84,-67.91
Marcelo Fernández,How to use REAPER FROM SCRATCH in 2025,https://www.youtube.com/watch?v=JOj1xvQ8BzE,Beginner Guides (Beginner Guides),109381,2025-10-13,11:04,664,48.11,-46.82,19.76
Sage Audio,Mastering Loud But Not Squashed,https://www.youtube.com/watch?v=YJVE4_CQ9Ts,Mastering & Loudness (Mastering & Loudness),107425,2023-08-10,09:31,571,68.99,-9.77,9.15
The REAPER Blog,Making a Click Track in Reaper,https://www.youtube.com/watch?v=GnEFzM4zJsM,Beginner Guides (Beginner Guides),106226,2012-08-12,02:07,127,27.18,-54.75,-99.37
ReaperTV,Reaper Tutorial: How to use Takes in Reaper DAW,https://www.youtube.com/watch?v=0Hrr5QrjgqM,Beginner Guides (Beginner Guides),105883,2017-08-11,10:24,624,45.4,-25.51,-39.49
The REAPER Blog,Metronome and Click Track in REAPER - Beginner REAPER DAW Tutorial,https://www.youtube.com/watch?v=tQQrE72flB4,Beginner Guides (Beginner Guides),104337,2019-08-11,10:23,623,27.01,-49.19,-85.8
Pod Peak,100 Reaper Tips and Shortcuts (for Beginners),https://www.youtube.com/watch?v=3AToV1uoqqY,Custom Scripts & Actions (Custom Scripts & Actions),98117,2022-08-10,39:16,2356,80.43,-67.4,69.16
Paul Douglas,Mixing a song on Reaper | My mixing process,https://www.youtube.com/watch?v=1xfU7IM4oBU,Audio Mixing & Routing (Audio Mixing & Routing),96376,2021-08-10,26:01,1561,92.69,-7.56,1.87
REAPER Mania,ReaTune or Tuning Vocals in REAPER,https://www.youtube.com/watch?v=3W7uVvcl1zo,Vocal Processing & Tuning (Vocal Processing & Tuning),95375,2025-08-09,11:16,676,56.05,-3.6,-104.69
REAPER Mania,Keeping Project Folders Organized in REAPER,https://www.youtube.com/watch?v=pjey57lAp1k,Beginner Guides (Beginner Guides),94221,2018-08-11,10:55,655,44.72,25.89,9.09
REAPER Mania,Importing and Editing Video in REAPER,https://www.youtube.com/watch?v=KsH5Neg4KlY,Beginner Guides (Beginner Guides),93407,2023-08-10,12:46,766,34.38,-56.53,-37.2
REAPER Mania,Normalize Audio Files in REAPER,https://www.youtube.com/watch?v=8G4o6B2SAE8,Beginner Guides (Beginner Guides),92241,2021-08-10,09:08,548,30.64,32.5,-2.95
The REAPER Blog,ESSENTIAL File Management in REAPER DAW Tutorial,https://www.youtube.com/watch?v=tk6WLWDYlyU,Beginner Guides (Beginner Guides),90058,2020-08-10,13:00,780,34.49,-17.98,-28.5
REAPER Mania,Creating Realistic Drums in REAPER,https://www.youtube.com/watch?v=PAKNfLl8Yg4,Beginner Guides (Beginner Guides),88655,2023-08-10,16:56,1016,40.35,-49.47,50.1
The REAPER Blog,Quick Tip - How To Install JS Plugins,https://www.youtube.com/watch?v=9EegrN-gF5o,JSFX & Plugin DSP (JSFX & Plugin DSP),87230,2015-08-12,01:40,100,76.44,-59.41,-41.62
Reapertips | Alejandro,Best FREE Plugins for REAPER? (Tukan Studios),https://www.youtube.com/watch?v=6SlOsDf1T4c,JSFX & Plugin DSP (JSFX & Plugin DSP),86544,2023-08-10,16:01,961,83.07,-39.48,-70.88
REAPER Mania,Why REAPER?,https://www.youtube.com/watch?v=PJrN23efnbw,Beginner Guides (Beginner Guides),85605,2025-08-09,10:54,654,110.62,93.48,-6.42
REAPER Mania,ReaLimit Limiter Plugin in REAPER,https://www.youtube.com/watch?v=nwE8reX1ERY,Mastering & Loudness (Mastering & Loudness),84546,2022-08-10,11:53,713,75.98,1.6,9.0
REAPER Mania,Recording Guitar Direct in REAPER,https://www.youtube.com/watch?v=exx-oxku894,Beginner Guides (Beginner Guides),81708,2022-08-10,12:18,738,22.73,-8.84,-64.22
Audiokinetic,Wwise-101 - Lesson 1 -  Integrating a Sound,https://www.youtube.com/watch?v=1EhEhDyZ6o4,Game Audio & Middleware (Game Audio & Middleware),79761,2022-08-10,07:03,423,79.22,62.19,-25.56
REAPER Mania,Stretch Markers in REAPER,https://www.youtube.com/watch?v=rMg_3AI6MKo,Beginner Guides (Beginner Guides),78664,2020-08-10,11:30,690,11.35,4.5,24.86
Home Music Maker,How to Master in REAPER: Turn Your Songs into Masterpieces!,https://www.youtube.com/watch?v=NiE0i6Fwg1A,Beginner Guides (Beginner Guides),77125,2024-08-09,33:12,1992,9.79,-11.8,-30.37
Easy Mixing,Export Individual Tracks in Reaper - Easy Mixing,https://www.youtube.com/watch?v=Av8gCvxIREs,"Audio Mixing & Routing (Audio Mixing & Routing, Mastering & Loudness)",74221,2022-08-10,00:41,41,85.16,-4.3,-15.68
Reaper Tutorials,Quick Tutorial - Sidechaining in Reaper,https://www.youtube.com/watch?v=a1sh2o78XyY,Beginner Guides (Beginner Guides),73356,2020-08-10,01:18,78,26.06,16.86,-26.87
Demigodson,The ONLY REAPER GUIDE you will ever need in Overwatch 2 (Top 500 Hero Guide/Tips and Tricks),https://www.youtube.com/watch?v=ZemNGr2mmRo,Beginner Guides (Beginner Guides),73089,2025-08-09,19:06,1146,21.56,-64.77,53.13
ChoiceOW,Reaper GUIDE to climb the ranks,https://www.youtube.com/watch?v=FkN1shWryWI,Beginner Guides (Beginner Guides),72205,2025-08-09,02:33:44,9224,25.4,-37.15,31.42
Reapertips | Alejandro,5 Useful Scripts for REAPER,https://www.youtube.com/watch?v=x1Qyg1Jg80s,Beginner Guides (Beginner Guides),72041,2024-08-09,14:15,855,23.94,-30.83,7.77
REAPER Mania,This is REAPER 6 - Sends & Busses (8/15),https://www.youtube.com/watch?v=8QmVGdlcMB0,Beginner Guides (Beginner Guides),71414,2023-08-10,14:51,891,31.98,43.2,27.94
The REAPER Blog,Mastering with REAPER stock FX Plugins.,https://www.youtube.com/watch?v=RUkpuA-DwyQ,"JSFX & Plugin DSP (JSFX & Plugin DSP, Mastering & Loudness)",71161,2022-08-10,23:03,1383,75.46,-16.92,-80.36
REAPER Mania,FX on the Master Track in REAPER,https://www.youtube.com/watch?v=mK8OBOJ58tg,Beginner Guides (Beginner Guides),69545,2022-08-10,13:48,828,8.18,-12.56,-55.07
TutorialsFor Reaper,Tutorials For Reaper | Envelopes | Normalize | Automations | Volume and Pan | Render Ready For CD,https://www.youtube.com/watch?v=OYMNx46MGmo,Mastering & Loudness (Mastering & Loudness),69186,2010-08-13,10:18,618,61.74,13.63,25.24
REAPER Mania,How to Glue a Mix in REAPER,https://www.youtube.com/watch?v=3ncr_aLySF4,Beginner Guides (Beginner Guides),69107,2023-08-10,10:32,632,29.1,2.92,49.16
REAPER Mania,Mix Like an Old Pro in REAPER,https://www.youtube.com/watch?v=BmrtAa5OK5U,Beginner Guides (Beginner Guides),68544,2023-08-10,08:55,535,31.47,-10.81,59.58
The REAPER Blog,REAPER Album Mastering Workflow - 2016 update - how to master an album in reaper,https://www.youtube.com/watch?v=Inf6oXIuXCc,"Custom Scripts & Actions (Custom Scripts & Actions, Mastering & Loudness)",67223,2017-08-11,10:00,600,75.11,-20.55,73.46
REAPER Mania,This is REAPER 7 - Basic Audio Editing,https://www.youtube.com/watch?v=EGL54WGa85A,Beginner Guides (Beginner Guides),66960,2024-08-09,12:12,732,41.22,11.6,-28.59
REAPER Mania,How to Make Your Mixes Louder in REAPER,https://www.youtube.com/watch?v=aGy91FBNm5g,Beginner Guides (Beginner Guides),66562,2021-08-10,10:35,635,54.06,-3.3,-27.7
REAPER Mania,How I Adjust Volume Automation in REAPER,https://www.youtube.com/watch?v=Y8p05k8hKZo,Beginner Guides (Beginner Guides),65971,2020-08-10,06:46,406,22.76,-80.03,-10.41
Paul Douglas,How to master a song in Reaper | Making a song on Reaper,https://www.youtube.com/watch?v=tlzpO0RujWw,"Audio Mixing & Routing (Audio Mixing & Routing, Mastering & Loudness)",65499,2021-08-10,09:12,552,80.38,-17.82,-27.09
RealHomeRecording.com,Record Soundcard Output Easily with REAPER,https://www.youtube.com/watch?v=t_okfrNQnC4,Beginner Guides (Beginner Guides),63335,2018-08-11,02:52,172,26.84,35.13,-63.87
Daniel Kharrat,How to setup M32/X32 with Reaper for Multitrack Recording and Virtual Sound Check (Step by step),https://www.youtube.com/watch?v=a17BWzRHaQI,Beginner Guides (Beginner Guides),63000,2021-08-10,04:16,256,54.97,-41.56,-26.4
Envato Tuts+,Reaper Tutorial | How to Edit a Podcast,https://www.youtube.com/watch?v=y-Tu14fG4C8,Beginner Guides (Beginner Guides),61551,2023-08-10,02:17:48,8268,11.24,14.28,-47.4
REAPER Mania,Track Lanes & Comping in REAPER 7,https://www.youtube.com/watch?v=QKql5MD-dCA,Beginner Guides (Beginner Guides),60669,2024-08-09,10:42,642,10.39,-19.51,-93.59
REAPER Mania,The BEST Way to Use AI Stems in REAPER for Insane Remixes | ReMix Anything in REAPER using AI Stems,https://www.youtube.com/watch?v=4UOtVO3m4MA,Mastering & Loudness (Mastering & Loudness),60479,2025-08-09,11:44,704,67.23,14.13,61.5
REAPER Mania,Takes in REAPER,https://www.youtube.com/watch?v=i1BWAVGjDos,Beginner Guides (Beginner Guides),59150,2020-08-10,12:46,766,43.95,-33.93,-55.26
REAPER Mania,The Routing Matrix in REAPER,https://www.youtube.com/watch?v=oAfF6lNlMQk,Audio Mixing & Routing (Audio Mixing & Routing),58271,2020-08-10,07:37,457,103.94,-6.56,-23.45
Akash Thakkar,Reaper for Game Audio | Part 1 - Intro and Setup,https://www.youtube.com/watch?v=uNJSKNhbsgA,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",57233,2020-08-10,12:35,755,57.88,33.67,-48.96
Dominik „Wodzu” Bodzek,HOW TO MAKE BEATS IN REAPER 🎹,https://www.youtube.com/watch?v=Pb18wmgVy4Y,Beginner Guides (Beginner Guides),54689,2024-08-09,32:07,1927,50.47,-16.05,-10.14
REAPER Mania,Using a MIDI Keyboard Controller in REAPER 7.20 or Newer,https://www.youtube.com/watch?v=Ogg9nDvZZTo,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),54095,2025-08-09,08:30,510,58.92,-112.93,3.53
REAPER Mania,First MIDI Song in REAPER | The BEST Way to Make a MIDI Song in REAPER FAST,https://www.youtube.com/watch?v=Ziy9sn0yghc,MIDI Editing & Virtual Instruments (MIDI Editing & Virtual Instruments),52448,2025-08-09,27:40,1660,51.93,-108.7,19.3
Megastar,An Idiot's Guide to REAPER | FFXIV Dawntrail,https://www.youtube.com/watch?v=JKsJQymklWo,Beginner Guides (Beginner Guides),52436,2026-02-10,06:53,413,32.25,-39.31,30.02
The REAPER Blog,Working faster with MIDI Editor Actions in REAPER (better keyboard shortcuts),https://www.youtube.com/watch?v=eDGKG5uFtEU,"Custom Scripts & Actions (Custom Scripts & Actions, MIDI Editing & Virtual Instruments)",51641,2022-08-10,17:12,1032,69.0,-101.46,45.06
The REAPER Blog,ReaRoute ASIO Driver and ReaStream Network Audio Plugin,https://www.youtube.com/watch?v=OnfTq8EtluU,Beginner Guides (Beginner Guides),51424,2022-08-10,10:51,651,49.21,27.64,41.03
Envato Tuts+,Reaper Tutorial | Sound Design for Beginners,https://www.youtube.com/watch?v=DNBYS4Q0P2g,"Beginner Guides (Beginner Guides, Game Audio & Middleware)",49994,2024-08-09,02:32:29,9149,53.36,33.16,-71.67
REAPER Mania,The Best Things You Didn’t Know REAPER Could Do - Part 1,https://www.youtube.com/watch?v=R8fdYdGflo8,Beginner Guides (Beginner Guides),49828,2025-08-09,11:36,696,19.28,-69.14,-56.27
REAPER Mania,JS: Loudness Meter Plugin (LUFS) in REAPER,https://www.youtube.com/watch?v=BF3SXuKBolM,Mastering & Loudness (Mastering & Loudness),49770,2022-08-10,13:24,804,82.48,-7.27,41.57
The Ultimate Mixdown,MIDI Editor Basics: What You Need to Know (Fast and Simple) - REAPER Tutorial,https://www.youtube.com/watch?v=1AXxztgzrAk,"Beginner Guides (Beginner Guides, MIDI Editing & Virtual Instruments)",48348,2025-08-09,07:12,432,39.7,-108.61,11.59
Skills Factory,Reaper  - Tutorial for Beginners in 16 MINS!  [ FULL GUIDE 2025 ],https://www.youtube.com/watch?v=uHlQJgOTcSQ,"Beginner Guides (Beginner Guides, MIDI Editing & Virtual Instruments)",48280,2025-09-13,16:54,1014,39.28,-110.65,-8.33
The REAPER Blog,Recording with Takes in REAPER,https://www.youtube.com/watch?v=jI7irAvxzvs,Beginner Guides (Beginner Guides),47430,2021-08-10,20:14,1214,37.76,-30.23,-62.73
REAPER Mania,Understanding Compression in REAPER,https://www.youtube.com/watch?v=l87vi7mEQC0,Beginner Guides (Beginner Guides),47146,2022-08-10,12:36,756,24.79,-14.62,2.13
REAPER Mania,This is REAPER 7 - Recording Audio - Part 1,https://www.youtube.com/watch?v=CKHWK3oTj-A,Beginner Guides (Beginner Guides),46657,2024-08-09,09:59,599,28.5,-22.55,-69.26
Henry Scott,FMOD & Unity | Adding Game Sounds | Part 1 - OneShots & Animation,https://www.youtube.com/watch?v=E7KSGSHrjTI,Game Audio & Middleware (Game Audio & Middleware),46088,2019-08-11,31:26,1886,74.38,77.81,5.31
Adrian Rascon,Film Scoring in Reaper (Tutorial),https://www.youtube.com/watch?v=n2kuagzvCIc,Beginner Guides (Beginner Guides),45899,2021-08-10,09:17,557,28.26,-6.62,-18.31
REAPER Mania,Fades & Crossfades in REAPER,https://www.youtube.com/watch?v=HLFMV7ae3TE,Beginner Guides (Beginner Guides),45785,2020-08-10,13:09,789,111.09,5.42,31.08
Joe at Claricast,How To Get Started With Reaper (10 Step Tutorial),https://www.youtube.com/watch?v=MBWkFhRk1RM,Beginner Guides (Beginner Guides),45069,2023-08-10,25:31,1531,46.99,-49.82,-21.84
Akash Thakkar,These Reaper Plugins Completely Changed My Sound Design Workflow,https://www.youtube.com/watch?v=tHpQmxQlWfI,"Custom Scripts & Actions (Custom Scripts & Actions, JSFX & Plugin DSP, Game Audio & Middleware)",43252,2023-08-10,05:07,307,90.52,-50.17,57.82
Raytown Productions,How to Master a Rock/Metal Song in 5 min | Mastering Tutorial,https://www.youtube.com/watch?v=u8gK1XpXHOw,"JSFX & Plugin DSP (JSFX & Plugin DSP, Mastering & Loudness)",42462,2023-08-10,10:38,638,65.75,-15.37,-73.9
Ballast Media,Configure Reaper for Live Mixing - PART 3 - Make My Live Stream Sound Better,https://www.youtube.com/watch?v=O0nI-ubl9bA,Audio Mixing & Routing (Audio Mixing & Routing),42199,2023-08-10,18:34,1114,99.97,-7.68,24.28
REAPER Mania,The Best FX Plugins Hidden in REAPER - Part 1,https://www.youtube.com/watch?v=EM1p_Z8pY2Q,JSFX & Plugin DSP (JSFX & Plugin DSP),41428,2025-12-12,14:21,861,80.06,-43.42,-96.96
Lykaon,Reaper Tutorial - How to create Busses!,https://www.youtube.com/watch?v=orjBMzdG-ow,Beginner Guides (Beginner Guides),41125,2022-08-10,03:41,221,31.76,6.03,-5.35
The REAPER Blog,ReaScript & ReaPack Tips,https://www.youtube.com/watch?v=9aQNCNGBF-c,Custom Scripts & Actions (Custom Scripts & Actions),39156,2016-08-11,09:52,592,75.2,-73.41,86.07
REAPER Mania,Set Up to Mix Quickly in REAPER,https://www.youtube.com/watch?v=UUBN5UbJsU4,Beginner Guides (Beginner Guides),38634,2022-08-10,10:14,614,34.45,15.6,42.46
REAPER Mania,The New Features Coming to REAPER 8I,https://www.youtube.com/watch?v=WGCTJMsc5K8,Beginner Guides (Beginner Guides),37561,2026-04-11,05:39,339,12.97,-12.47,63.2
The REAPER Blog,Audio Routing Explained - DAW signal flow tutorial,https://www.youtube.com/watch?v=H8BJhJjgCiE,Audio Mixing & Routing (Audio Mixing & Routing),36812,2016-08-11,17:04,1024,106.94,-36.09,-48.14
Let's Talk About Reaper,Free JS Plugins - Installing Tukan Studios Plugins,https://www.youtube.com/watch?v=BJI52lUZxJU,JSFX & Plugin DSP (JSFX & Plugin DSP),35868,2022-08-10,07:10,430,81.24,-40.9,-52.07
The REAPER Blog,Customizing Zoom and Scroll in REAPER,https://www.youtube.com/watch?v=8p0Nm1o39ig,Beginner Guides (Beginner Guides),35551,2016-08-11,07:41,461,46.06,-1.26,26.42
"No Label, No Producer, No Limits",Mastering With Free Reaper Plugins,https://www.youtube.com/watch?v=nvRUjiLxCfg,"JSFX & Plugin DSP (JSFX & Plugin DSP, Mastering & Loudness)",34518,2024-08-09,13:24,804,72.93,-19.6,-63.3
REAPER Mania,Matching Item/Track Loudness Levels (LUFS) in REAPER,https://www.youtube.com/watch?v=jqyMHHTjqJQ,Mastering & Loudness (Mastering & Loudness),34436,2022-08-10,09:22,562,78.2,-13.77,19.27
Mattias Holmgren,Reaper 2025 – I Was NOT Expecting This!,https://www.youtube.com/watch?v=a5UtNPJQ_qI,Beginner Guides (Beginner Guides),34268,2025-09-13,15:01,901,41.47,-51.81,8.54
The REAPER Blog,Building a Mix Template in REAPER DAW,https://www.youtube.com/watch?v=xKsgV1AVQqI,Beginner Guides (Beginner Guides),33248,2020-08-10,17:06,1026,34.07,7.7,66.99
REAPER Mania,Master VU Settings in REAPER,https://www.youtube.com/watch?v=NWHDwYQVzro,Beginner Guides (Beginner Guides),32836,2022-08-10,10:10,610,-5.42,-21.04,-43.14
Shootie School,Routing Toontrack's EZDrummer 3 in Reaper,https://www.youtube.com/watch?v=m-4ZB62fUjE,Audio Mixing & Routing (Audio Mixing & Routing),32531,2024-08-09,09:35,575,97.96,-30.33,-17.83
