autor,titulo,enlace,categoria_descriptores,vistas_reales,fecha_publicacion,latent_x,latent_y,latent_z
Fireship,Microsoft goes nuclear on TypeScript codebase…,https://www.youtube.com/watch?v=PQ2WjtaPfXU,Web Development Setup (Web Development Setup),1224386,2025-08-09,76.71,-63.69,53.33
Fireship,High-school student makes React a million times faster,https://www.youtube.com/watch?v=VkezQMb1DHw,Web Development Setup (Web Development Setup),1219187,2023-08-10,69.99,-52.13,56.86
Tech With Tim,VSCode Tutorial For Beginners - Getting Started With VSCode,https://www.youtube.com/watch?v=ORrELERGIHs,Beginner Guides (Beginner Guides),1216993,2021-08-10,97.57,-8.91,-45.76
Fireship,There’s a fast new code editor in town,https://www.youtube.com/watch?v=JGz7Ou0Nwo8,Extension Setup & Copilot (Extension Setup & Copilot),1216468,2024-08-09,52.21,-12.52,11.22
HolaMundo,Learn VS Code now! | Complete VS Code course from scratch,https://www.youtube.com/watch?v=Ei1y51K8jQk,Beginner Guides (Beginner Guides),1198674,2023-08-10,91.55,-14.66,-33.4
Fireship,n8n will change your life as a developer...,https://www.youtube.com/watch?v=bS9R6aCVEzw,Beginner Guides (Beginner Guides),1192663,2025-10-13,107.86,-11.21,-1.56
Fireship,TypeScript in 100 Seconds,https://www.youtube.com/watch?v=zQnBQ4tB3ZA,"Beginner Guides (Beginner Guides, Web Development Setup)",1177594,2021-08-10,101.34,-31.97,36.18
Fireship,Neovim in 100 Seconds,https://www.youtube.com/watch?v=c4OyfL5o7DU,Beginner Guides (Beginner Guides),1170977,2023-08-10,104.84,-14.75,31.81
Fireship,They made React great again?,https://www.youtube.com/watch?v=4k6Xgjqkad4,Web Development Setup (Web Development Setup),1151979,2024-08-09,73.74,-54.92,73.1
Dylan Cole,How I'd Learn Web Development (If I Could Start Over),https://www.youtube.com/watch?v=TG6XSFeOT3g,"Beginner Guides (Beginner Guides, Web Development Setup)",1138615,2023-08-10,97.16,-53.79,25.8
Traversy Media,React Crash Course,https://www.youtube.com/watch?v=LDB4uaJ87e0,"Beginner Guides (Beginner Guides, Web Development Setup)",1086636,2024-08-09,99.32,-43.62,14.37
Aaron Jack,HTML in 5 minutes,https://www.youtube.com/watch?v=salY_Sm6mv4,Web Development Setup (Web Development Setup),1065866,2021-08-10,79.29,-27.38,81.23
Fireship,Cursor 2.0 is here... 5 things you didn't know it can do,https://www.youtube.com/watch?v=HIp8sFB2GGw,Beginner Guides (Beginner Guides),1060249,2025-11-12,109.5,-35.71,-10.16
BoostMyTool,Run HTML Files using Visual Studio Code 2022,https://www.youtube.com/watch?v=VqZURkN90Ik,Web Development Setup (Web Development Setup),1047707,2022-08-10,87.95,-64.9,90.48
HurrayBanana,Using Visual Studio Code to make a website,https://www.youtube.com/watch?v=ndEFbDOsM6c,Beginner Guides (Beginner Guides),1044608,2020-08-10,94.01,8.51,16.51
Visual Studio Code,VS Code Agent Mode Just Changed Everything,https://www.youtube.com/watch?v=dutyOc_cAEU,Beginner Guides (Beginner Guides),1044290,2025-08-09,117.11,-24.79,-37.6
Visual Studio Code,Getting Started with Python in VS Code (Official Video),https://www.youtube.com/watch?v=D2cwvpJSBX4,"Beginner Guides (Beginner Guides, Python & Backend Setup)",1042577,2025-08-09,84.14,-3.76,6.93
Traversy Media,"Build a Responsive Website | HTML, CSS Grid, Flexbox & More",https://www.youtube.com/watch?v=p0bGHP-PXD4,Web Development Setup (Web Development Setup),1037656,2021-08-10,89.24,-32.14,103.99
Fireship,how to never write bug,https://www.youtube.com/watch?v=X3jw1JVNdPE,Code Debugging & Breakpoints (Code Debugging & Breakpoints),1023037,2023-08-10,80.94,-76.84,-42.05
Fireship,Open-weight AI just hit 2.8 trillion parameters…,https://www.youtube.com/watch?v=YP73B9D20V4,Extension Setup & Copilot (Extension Setup & Copilot),986361,2026-07-26,62.94,15.83,-10.69
freeCodeCamp.org,"Web Development Tutorial - JavaScript,  HTML, CSS - Rock Paper Scissors Game",https://www.youtube.com/watch?v=jaVNP3nIAv0,Web Development Setup (Web Development Setup),941625,2019-08-11,89.47,-39.4,55.39
freeCodeCamp.org,Learn HTML & CSS – Full Course for Beginners,https://www.youtube.com/watch?v=a_iQb1lnAEQ,Web Development Setup (Web Development Setup),929515,2023-08-10,82.68,-27.56,94.79
Fireship,Claude just got another superpower...,https://www.youtube.com/watch?v=jeA-KBv0b68,Beginner Guides (Beginner Guides),921250,2026-05-11,115.29,10.1,-26.05
Fireship,Tmux in 100 Seconds,https://www.youtube.com/watch?v=vtB1J_zCv8I,"Beginner Guides (Beginner Guides, Integrated Terminal & Tasks)",920808,2025-08-09,78.64,21.44,-22.68
Fireship,"Cursor ditches VS Code, but not everyone is happy...",https://www.youtube.com/watch?v=JSuS-zXMVwE,Git & GitHub Integration (Git & GitHub Integration),897425,2026-04-11,86.57,90.02,-40.68
Fireship,How to make vibe coding not suck…,https://www.youtube.com/watch?v=PLKrSVuT-Dg,Extension Setup & Copilot (Extension Setup & Copilot),883992,2025-11-12,60.34,-12.18,-18.59
Fireship,This video was made with code. But how?,https://www.youtube.com/watch?v=deg8bOoziaE,Web Development Setup (Web Development Setup),882183,2022-08-10,75.29,-37.03,75.57
Visual Studio Code,Get Started with GitHub Copilot in VS Code (2023),https://www.youtube.com/watch?v=Fi3AJZZregI,"Beginner Guides (Beginner Guides, Extension Setup & Copilot, Git & GitHub Integration)",849716,2023-08-10,81.77,47.54,46.53
Traversy Media,Modern JavaScript From The Beginning | First 12 Hours,https://www.youtube.com/watch?v=BI1o2H9z9fo,Web Development Setup (Web Development Setup),845282,2023-08-10,82.58,-51.65,45.67
Fireship,OpenAI is so back... GPT 5.6 Sol first look,https://www.youtube.com/watch?v=URKml8lgw8Y,Git & GitHub Integration (Git & GitHub Integration),817692,2026-07-12,84.76,85.07,-26.02
Fireship,There's a new Linux distro in town for developers...,https://www.youtube.com/watch?v=DC2p3kFjcK0,Extension Setup & Copilot (Extension Setup & Copilot),815521,2025-10-13,50.92,-9.24,-2.4
devdojo,"HTML, CSS, and Javascript in 30 minutes",https://www.youtube.com/watch?v=_GTMOmRrqkU,"Beginner Guides (Beginner Guides, Web Development Setup)",804404,2020-08-10,101.65,-81.76,28.98
Fireship,BEST Web Dev Setup? Windows & Linux at the same time (WSL),https://www.youtube.com/watch?v=-atblwgc63E,Web Development Setup (Web Development Setup),791362,2020-08-10,76.45,-59.72,99.71
Visual Studio Code,Get to know GitHub Copilot in VS Code and be productive IMMEDIATELY,https://www.youtube.com/watch?v=jXp5D5ZnxGM,"Extension Setup & Copilot (Extension Setup & Copilot, Git & GitHub Integration)",785885,2024-08-09,72.5,25.26,31.53
Brian Design,HTML CSS Javascript Website Tutorial - Responsive Beginner JS Project with Smooth Scroll,https://www.youtube.com/watch?v=3-2Pj5hxwrw,"Beginner Guides (Beginner Guides, Web Development Setup)",750988,2021-08-10,109.03,-61.14,32.87
Fireship,When open-sourcing your code goes wrong...,https://www.youtube.com/watch?v=wzzh7Not8XE,Extension Setup & Copilot (Extension Setup & Copilot),749253,2026-03-12,64.8,-0.34,-3.03
Fireship,A brief history of programming...,https://www.youtube.com/watch?v=9uW6B9LPntY,Extension Setup & Copilot (Extension Setup & Copilot),741917,2026-02-10,59.4,-9.23,19.76
Corey Schafer,Visual Studio Code (Windows) - Setting up a Python Development Environment and Complete Overview,https://www.youtube.com/watch?v=-nh9rCzPJ20,Python & Backend Setup (Python & Backend Setup),735142,2019-08-11,77.74,-36.2,12.43
Fireship,Stop calling Fleet a VS Code Killer,https://www.youtube.com/watch?v=h55emgImrLk,Beginner Guides (Beginner Guides),734368,2023-08-10,104.29,-9.62,-20.73
Traversy Media,Google Chrome Developer Tools Crash Course,https://www.youtube.com/watch?v=x4q86IjJFag,Beginner Guides (Beginner Guides),721807,2018-08-11,103.24,-23.61,4.59
Dave Gray,Python Tutorial for Beginners with VS Code 🐍,https://www.youtube.com/watch?v=6i3e-j3wSf0,"Web Development Setup (Web Development Setup, Python & Backend Setup)",717675,2023-08-10,83.7,-28.25,29.22
Fireship,React wants to win you back…,https://www.youtube.com/watch?v=yl0YWA2K2B0,Web Development Setup (Web Development Setup),707684,2025-11-12,70.02,-46.18,75.2
Fireship,The most controversial rewrite in history just shipped...,https://www.youtube.com/watch?v=CXSvKcLovAk,Beginner Guides (Beginner Guides),664711,2026-07-19,120.0,13.9,-19.54
Beyond Fireship,I built a DeepSeek R1 powered VS Code extension…,https://www.youtube.com/watch?v=clJCDHml2cA,Beginner Guides (Beginner Guides),662191,2025-08-09,111.72,32.86,-65.41
Fireship,5 wild data structures every developer should know,https://www.youtube.com/watch?v=6fnmXX8RK0s,Beginner Guides (Beginner Guides),654962,2025-08-09,110.46,-21.03,6.1
MoureDev by Brais Moure,VISUAL STUDIO CODE: Tutorial for beginners,https://www.youtube.com/watch?v=CxF3ykWP1H4,Beginner Guides (Beginner Guides),648706,2024-08-09,96.13,19.18,-24.44
GreatStack,Create A Website Like YouTube Using HTML CSS JS | YouTube Clone Website Design Step By Step,https://www.youtube.com/watch?v=4ykAepVkG5Y,Web Development Setup (Web Development Setup),645842,2021-08-10,96.37,-21.39,90.82
The Code City,How to Upload Project to GitHub Using Visual Studio Code (2026) | Push to GitHub From VSCode,https://www.youtube.com/watch?v=JB7YD7OKm5g,Git & GitHub Integration (Git & GitHub Integration),642050,2025-08-09,78.07,73.69,-9.41
NetworkChuck,you NEED to use VS Code RIGHT NOW!!,https://www.youtube.com/watch?v=1ZfO149BJvg,Beginner Guides (Beginner Guides),639463,2023-08-10,105.67,32.97,-45.06
Fireship,Alibaba is coming for Claude...,https://www.youtube.com/watch?v=-w53i6Ae-YM,Beginner Guides (Beginner Guides),638569,2025-08-09,112.01,16.47,-26.06
Traversy Media,Node.js Crash Course,https://www.youtube.com/watch?v=32M1al-Y6Ag,Beginner Guides (Beginner Guides),635548,2024-08-09,93.77,-24.74,-7.97
Amit Thinks,How to Install Visual Studio Code on Windows 10 [2023 Update] Complete Guide,https://www.youtube.com/watch?v=CPmQwlycfGI,Beginner Guides (Beginner Guides),633868,2023-08-10,97.04,48.11,-19.71
Soap Js,Get live HTML Preview in VS Code (Live Server Tutorial),https://www.youtube.com/watch?v=I2PlgSGT2Ls,Web Development Setup (Web Development Setup),633307,2021-08-10,78.63,-15.91,120.0
Traversy Media,Visual Studio Code Intro & Setup,https://www.youtube.com/watch?v=fnPhJHN0jTE,Beginner Guides (Beginner Guides),620369,2018-08-11,101.67,29.24,-14.19
Soy Dalto,Curso de VISUAL STUDIO CODE desde CERO (Completo),https://www.youtube.com/watch?v=TbzrOz8HbFM,Beginner Guides (Beginner Guides),612426,2024-08-09,101.59,45.69,13.07
Traversy Media,Vue.js Crash Course,https://www.youtube.com/watch?v=VeNfHj6MhgA,Beginner Guides (Beginner Guides),602879,2024-08-09,94.25,-21.17,8.8
Fireship,When bad C code puts you behind bars...,https://www.youtube.com/watch?v=cNywlNWan9o,Beginner Guides (Beginner Guides),600432,2025-08-09,111.01,-8.4,-19.95
Fireship,The ruthless forking of Terraform,https://www.youtube.com/watch?v=HzBA6FIn_Bo,Beginner Guides (Beginner Guides),592413,2024-08-09,104.62,10.15,4.65
Vaibhav Talks - Coding,Vs Code Tutorial for beginners | How to use vs studio code in hindi,https://www.youtube.com/watch?v=7Kw-lrG7o1I,Beginner Guides (Beginner Guides),581587,2023-08-10,98.93,16.37,-51.57
Traversy Media,The Programming Language Guide,https://www.youtube.com/watch?v=2lVDktWK-pc,Beginner Guides (Beginner Guides),570885,2022-08-10,102.66,-42.7,-24.51
Fireship,Erlang in 100 Seconds,https://www.youtube.com/watch?v=M7uo5jmFDUw,Beginner Guides (Beginner Guides),563060,2024-08-09,104.84,-14.75,31.81
Fireship,Angular is back with a vengeance,https://www.youtube.com/watch?v=nQ2A30cD3Q8,Beginner Guides (Beginner Guides),530295,2023-08-10,115.1,-13.74,25.73
Jeff Delaney,How I Make Videos for Programmers (on Fireship.io),https://www.youtube.com/watch?v=N6-Q2dgodLs,Beginner Guides (Beginner Guides),526815,2021-08-10,108.56,33.55,6.54
SkillsBuild Security,"How to Setup Visual Studio Code for HTML, CSS, and JavaScript",https://www.youtube.com/watch?v=5deeCvboSos,Web Development Setup (Web Development Setup),505295,2023-08-10,86.82,-35.27,74.51
Traversy Media,Go / Golang Crash Course,https://www.youtube.com/watch?v=SqrbIlUwR0U,Beginner Guides (Beginner Guides),491600,2019-08-11,98.52,-15.41,-4.78
Coder Coder,The best VS Code shortcuts to speed up your coding,https://www.youtube.com/watch?v=dLzMz2Jk_qU,"Shortcuts & Multi-Cursor (Shortcuts & Multi-Cursor, Web Development Setup)",489818,2024-08-09,63.01,-8.92,-71.17
Traversy Media,Setting Up VSCode For Python Programming,https://www.youtube.com/watch?v=W--_EOzdTHk,"Extension Setup & Copilot (Extension Setup & Copilot, Python & Backend Setup)",482679,2020-08-10,68.39,-10.57,15.73
Traversy Media,Create a Desktop App With JavaScript & Electron,https://www.youtube.com/watch?v=ML743nrkMHw,Web Development Setup (Web Development Setup),474224,2023-08-10,78.69,-37.21,47.48
Lama Dev,HTML CSS Javascript E-commerce Website Tutorial for Beginners,https://www.youtube.com/watch?v=b3Gqq_k-g24,Web Development Setup (Web Development Setup),460456,2022-08-10,87.77,-21.3,88.36
Coding with Estefania,Learn Visual Studio Code - Course for Beginners,https://www.youtube.com/watch?v=yjeHLSrhPao,Beginner Guides (Beginner Guides),452306,2022-08-10,92.28,8.86,-23.03
Waatz Developer,How to Link CSS to HTML in Visual Studio Code,https://www.youtube.com/watch?v=7IaqdnU44rQ,Web Development Setup (Web Development Setup),447236,2021-08-10,83.68,-52.55,81.39
Kevin Powell,How to get started with VS Code,https://www.youtube.com/watch?v=EUJlVYggR1Y,Beginner Guides (Beginner Guides),440039,2024-08-09,101.88,-11.19,-38.46
PythonLife,Vs Code IDE in Telugu,https://www.youtube.com/watch?v=XmimiXIaTWc,Beginner Guides (Beginner Guides),437224,2022-08-10,-120.0,-113.09,1.93
Traversy Media,JavaScript BookList App | No Frameworks,https://www.youtube.com/watch?v=JaMCxVWtW58,Web Development Setup (Web Development Setup),436865,2019-08-11,77.2,-33.67,59.88
JavaScript Mastery,Creating a Sushi-Themed Website: HTML & CSS Guide for Beginners,https://www.youtube.com/watch?v=QRrPE9aj3wI,Web Development Setup (Web Development Setup),436454,2023-08-10,86.2,-17.04,104.83
Lama Dev,Don't Use a Mouse Anymore! VSCode Shortcuts Tips and Tricks,https://www.youtube.com/watch?v=jsZoR1kkq6s,Shortcuts & Multi-Cursor (Shortcuts & Multi-Cursor),413473,2022-08-10,75.24,-21.6,-101.21
Nate Herk | AI Automation,Master 95% of Claude Code in 36 Mins (as a beginner),https://www.youtube.com/watch?v=saggDHHnmtQ,"Beginner Guides (Beginner Guides, Extension Setup & Copilot)",410875,2026-02-10,115.07,29.38,-35.3
Tech With Tim,How to Use a Debugger - Debugger Tutorial,https://www.youtube.com/watch?v=7qZBwhSlfOo,Code Debugging & Breakpoints (Code Debugging & Breakpoints),408156,2020-08-10,82.37,-112.4,-17.02
Height Above Sea Level,Visual Studio For Beginners - 2022 and Beyond (Applies in 2026),https://www.youtube.com/watch?v=VcU2HGsxeII,Code Debugging & Breakpoints (Code Debugging & Breakpoints),401677,2022-08-10,81.42,-63.66,-28.83
Traversy Media,Axios Crash Course | HTTP Library,https://www.youtube.com/watch?v=6LyagkoRWYA,Beginner Guides (Beginner Guides),392645,2020-08-10,98.52,-15.41,-4.78
freeCodeCamp.org,VS Code Tutorial – Become More Productive,https://www.youtube.com/watch?v=heXQnM99oAI,Extension Setup & Copilot (Extension Setup & Copilot),379029,2024-08-09,54.89,7.85,16.08
Traversy Media,15 VS Code Extensions For Front-End Developers in 2019,https://www.youtube.com/watch?v=LdF2RcelRg0,Extension Setup & Copilot (Extension Setup & Copilot),375743,2019-08-11,49.17,12.28,0.09
Visual Studio Code,Get started with Copilot Free in VS Code,https://www.youtube.com/watch?v=X_Aet9ndh_Y,"Extension Setup & Copilot (Extension Setup & Copilot, Git & GitHub Integration)",374989,2025-08-09,60.81,26.21,30.05
Tom Shaw,CI/CD Tutorial using GitHub Actions - Automated Testing & Automated Deployments,https://www.youtube.com/watch?v=YLtlz88zrLg,Git & GitHub Integration (Git & GitHub Integration),369393,2025-08-09,91.51,120.0,-29.02
